T,Alt,Veloc,Filt_Alt,FVeloc,LDA,LowV,Apogee,N-O,Drogue,Main,falt_m
0,-2,-40,-0.4,-8,0,0,0,0,0,0,-0.12192
50,14,320,2.48,57.6,0,0,0,0,0,0,0.755904
100,14,0,4.78,46.08,0,0,0,0,0,0,1.456944
150,24,200,8.63,76.86,0,0,0,0,0,0,2.630424
200,16,-160,10.1,29.49,0,0,0,0,0,0,3.07848
250,112,1920,30.48,407.59,0,0,0,0,0,0,9.290304
300,30,-1640,30.39,-1.93,0,0,0,0,0,0,9.262872
350,98,1360,43.91,270.46,0,0,0,0,0,0,13.383768
400,78,-400,50.73,136.37,0,0,0,0,0,0,15.462504
450,96,360,59.78,181.09,0,0,0,0,0,0,18.220944
500,116,400,71.02,224.88,0,0,0,0,0,0,21.646896
550,106,-200,78.02,139.9,0,0,0,0,0,0,23.780496
600,134,560,89.22,223.92,0,0,0,0,0,0,27.194256
650,184,1000,108.17,379.14,0,0,0,0,0,0,32.970216
700,150,-680,116.54,167.31,0,0,0,0,0,0,35.521392
750,204,1080,134.03,349.85,0,0,0,0,0,0,40.852344
800,236,640,154.42,407.88,0,0,0,0,0,0,47.067216
850,220,-320,167.54,262.3,0,0,0,0,0,0,51.066192
900,274,1080,188.83,425.84,0,0,0,0,0,0,57.555384
950,304,600,211.87,460.67,304,0,0,0,0,0,64.577976
1000,292,-240,227.89,320.54,0,0,0,0,0,0,69.460872
1050,286,-120,239.51,232.43,0,0,0,0,0,0,73.002648
1100,352,1320,262.01,449.94,0,0,0,0,0,0,79.860648
1150,366,280,282.81,415.96,0,0,0,0,0,0,86.200488
1200,414,960,309.05,524.76,0,0,0,0,0,0,94.19844
1250,410,-80,329.24,403.81,0,0,0,0,0,0,100.352352
1300,458,960,354.99,515.05,0,0,0,0,0,0,108.200952
1350,450,-160,373.99,380.04,0,0,0,0,0,0,113.992152
1400,488,760,396.79,456.03,0,0,0,0,0,0,120.941592
1450,472,-320,411.83,300.83,0,0,0,0,0,0,125.525784
1500,540,1360,437.47,512.66,0,0,0,0,0,0,133.340856
1550,544,80,458.77,426.13,0,0,0,0,0,0,139.833096
1600,620,1520,491.02,644.9,0,0,0,0,0,0,149.662896
1650,634,280,519.62,571.92,0,0,0,0,0,0,158.380176
1700,660,520,547.69,561.54,0,0,0,0,0,0,166.935912
1750,678,360,573.75,521.23,0,0,0,0,0,0,174.879
1800,702,480,599.4,512.98,0,0,0,0,0,0,182.69712
1850,716,280,622.72,466.39,0,0,0,0,0,0,189.805056
1900,758,840,649.78,541.11,0,0,0,0,0,0,198.052944
1950,776,360,675.02,504.89,0,0,0,0,0,0,205.746096
2000,840,1280,708.02,659.91,0,0,0,0,0,0,215.804496
2050,852,240,736.81,575.93,0,0,0,0,0,0,224.579688
2100,910,1160,771.45,692.74,0,0,0,0,0,0,235.13796
2150,904,-120,797.96,530.19,0,0,0,0,0,0,243.218208
2200,938,680,825.97,560.16,0,0,0,0,0,0,251.755656
2250,978,800,856.38,608.12,0,0,0,0,0,0,261.024624
2300,994,320,883.9,550.5,0,0,0,0,0,0,269.41272
2350,1044,1000,915.92,640.4,0,0,0,0,0,0,279.172416
2400,1054,200,943.54,552.32,0,0,0,0,0,0,287.590992
2450,1104,1000,975.63,641.86,0,0,0,0,0,0,297.372024
2500,1130,520,1006.5,617.49,0,0,0,0,0,0,306.7812
2550,1152,440,1035.6,581.99,0,0,0,0,0,0,315.65088
2600,1192,800,1066.88,625.59,0,0,0,0,0,0,325.185024
2650,1210,360,1095.51,572.47,0,0,0,0,0,0,333.911448
2700,1252,840,1126.8,625.98,0,0,0,0,0,0,343.44864
2750,1294,840,1160.24,668.78,0,0,0,0,0,0,353.641152
2800,1340,920,1196.19,719.03,0,0,0,0,0,0,364.598712
2850,1376,720,1232.16,719.22,0,0,0,0,0,0,375.562368
2900,1430,1080,1271.72,791.38,0,0,0,0,0,0,387.620256
2950,1462,640,1309.78,761.1,0,0,0,0,0,0,399.220944
3000,1472,200,1342.22,648.88,0,0,0,0,0,0,409.108656
3050,1480,160,1369.78,551.1,0,0,0,0,0,0,417.508944
3100,1548,1360,1405.42,712.88,0,0,0,0,0,0,428.372016
3150,1602,1080,1444.74,786.31,0,0,0,0,0,0,440.356752
3200,1636,680,1482.99,765.05,0,0,0,0,0,0,452.015352
3250,1668,640,1519.99,740.04,0,0,0,0,0,0,463.292952
3300,1692,480,1554.39,688.03,0,0,0,0,0,0,473.778072
3350,1704,240,1584.32,598.42,0,0,0,0,0,0,482.900736
3400,1756,1040,1618.65,686.74,0,0,0,0,0,0,493.36452
3450,1786,600,1652.12,669.39,0,0,0,0,0,0,503.566176
3500,1824,760,1686.5,687.51,0,0,0,0,0,0,514.0452
3550,1872,960,1723.6,742.01,0,0,0,0,0,0,525.35328
3600,1876,80,1754.08,609.61,0,0,0,0,0,0,534.643584
3650,1918,840,1786.86,655.69,0,0,0,0,0,0,544.634928
3700,1922,80,1813.89,540.55,0,0,0,0,0,0,552.873672
3750,1948,520,1840.71,536.44,0,0,0,0,0,0,561.048408
3800,2020,1440,1876.57,717.15,0,0,0,0,0,0,571.978536
3850,1998,-440,1900.86,485.72,0,0,0,0,0,0,579.382128
3900,2070,1440,1934.68,676.58,0,0,0,0,0,0,589.690464
3950,2094,480,1966.55,637.26,0,0,0,0,0,0,599.40444
4000,2070,-480,1987.24,413.81,0,0,0,0,0,0,605.710752
4050,2110,800,2011.79,491.05,0,0,0,0,0,0,613.193592
4100,2108,-40,2031.03,384.84,0,0,0,0,0,0,619.057944
4150,2130,440,2050.83,395.87,0,0,0,0,0,0,625.092984
4200,2194,1280,2079.46,572.7,0,0,0,0,0,0,633.819408
4250,2244,1000,2112.37,658.16,0,0,0,0,0,0,643.850376
4300,2282,760,2146.29,678.53,0,0,0,0,0,0,654.189192
4350,2300,360,2177.04,614.82,0,0,0,0,0,0,663.561792
4400,2320,400,2205.63,571.86,0,0,0,0,0,0,672.276024
4450,2388,1360,2242.1,729.49,0,0,0,0,0,0,683.39208
4500,2484,1920,2290.48,967.59,0,0,0,0,0,0,698.138304
4550,2508,480,2333.99,870.07,0,0,0,0,0,0,711.400152
4600,2556,960,2378.39,888.06,0,0,0,0,0,0,724.933272
4650,2562,120,2415.11,734.44,0,0,0,0,0,0,736.125528
4700,2650,1760,2462.09,939.56,0,0,0,0,0,0,750.445032
4750,2688,760,2507.27,903.65,0,0,0,0,0,0,764.215896
4800,2734,920,2552.62,906.91,0,0,0,0,0,0,778.038576
4850,2816,1640,2605.29,1053.54,0,0,0,0,0,0,794.092392
4900,2892,1520,2662.63,1146.83,0,0,0,0,0,0,811.569624
4950,2900,160,2710.11,949.46,0,0,0,0,0,0,826.041528
5000,2962,1240,2760.49,1007.57,0,0,0,0,0,0,841.397352
5050,3052,1800,2818.79,1166.05,0,0,0,0,0,0,859.167192
5100,3092,800,2873.43,1092.84,0,0,0,0,0,0,875.821464
5150,3186,1880,2935.94,1250.27,0,0,0,0,0,0,894.874512
5200,3342,3120,3017.16,1624.22,0,0,0,0,0,0,919.630368
5250,3392,1000,3092.12,1499.38,0,0,0,0,0,0,942.478176
5300,3410,360,3155.7,1271.5,0,0,0,0,0,0,961.85736
5350,3418,160,3208.16,1049.2,0,0,0,0,0,0,977.847168
5400,3512,1880,3268.93,1215.36,0,0,0,0,0,0,996.369864
5450,3544,640,3323.94,1100.29,0,0,0,0,0,0,1013.136912
5500,3580,720,3375.15,1024.23,0,0,0,0,0,0,1028.74572
5550,3644,1280,3428.92,1075.39,0,0,0,0,0,0,1045.134816
5600,3700,1120,3483.14,1084.31,0,0,0,0,0,0,1061.661072
5650,3740,800,3534.51,1027.45,0,0,0,0,0,0,1077.318648
5700,3746,120,3576.81,845.96,0,0,0,0,0,0,1090.211688
5750,3774,560,3616.25,788.76,0,0,0,0,0,0,1102.233
5800,3834,1200,3659.8,871.01,0,0,0,0,0,0,1115.50704
5850,3872,760,3702.24,848.81,0,0,0,0,0,0,1128.442752
5900,3906,680,3742.99,815.05,0,0,0,0,0,0,1140.863352
5950,4006,2000,3795.59,1052.04,0,0,0,0,0,0,1156.895832
6000,4050,880,3846.47,1017.63,0,0,0,0,0,0,1172.404056
6050,4088,760,3894.78,966.1,0,0,0,0,0,0,1187.128944
6100,4134,920,3942.62,956.88,0,0,0,0,0,0,1201.710576
6150,4138,80,3981.7,781.51,0,0,0,0,0,0,1213.62216
6200,4200,1240,4025.36,873.2,0,0,0,0,0,0,1226.929728
6250,4254,1080,4071.09,914.57,0,0,0,0,0,0,1240.868232
6300,4272,360,4111.27,803.65,0,0,0,0,0,0,1253.115096
6350,4330,1160,4155.02,874.92,0,0,0,0,0,0,1266.450096
6400,4328,-40,4189.61,691.93,0,0,0,0,0,0,1276.993128
6450,4402,1480,4232.09,849.55,0,0,0,0,0,0,1289.941032
6500,4422,400,4270.07,759.64,0,0,0,0,0,0,1301.517336
6550,4484,1240,4312.86,855.71,0,0,0,0,0,0,1314.559728
6600,4508,480,4351.89,780.57,0,0,0,0,0,0,1326.456072
6650,4570,1240,4395.51,872.46,0,0,0,0,0,0,1339.751448
6700,4612,840,4438.81,865.97,0,0,0,0,0,0,1352.949288
6750,4654,840,4481.85,860.77,0,0,0,0,0,0,1366.06788
6800,4700,920,4525.48,872.62,0,0,0,0,0,0,1379.366304
6850,4722,440,4564.78,786.09,0,0,0,0,0,0,1391.344944
6900,4728,120,4597.42,652.87,0,0,0,0,0,0,1401.293616
6950,4794,1320,4636.74,786.3,0,0,0,0,0,0,1413.278352
7000,4818,480,4672.99,725.04,0,0,0,0,0,0,1424.327352
7050,4860,840,4710.39,748.04,0,0,0,0,0,0,1435.726872
7100,4894,680,4747.11,734.42,0,0,0,0,0,0,1446.919128
7150,4900,120,4777.69,611.54,0,0,0,0,0,0,1456.239912
7200,5004,2080,4822.95,905.23,0,0,0,0,0,0,1470.03516
7250,4992,-240,4856.76,676.18,0,0,0,0,0,0,1480.340448
7300,5068,1520,4899.01,844.95,0,0,0,0,0,0,1493.218248
7350,5100,640,4939.21,803.96,0,0,0,0,0,0,1505.471208
7400,5114,280,4974.17,699.17,0,0,0,0,0,0,1516.127016
7450,5142,560,5007.73,671.34,0,0,0,0,0,0,1526.356104
7500,5192,1000,5044.59,737.07,0,0,0,0,0,0,1537.591032
7550,5208,320,5077.27,653.65,0,0,0,0,0,0,1547.551896
7600,5254,920,5112.62,706.92,0,0,0,0,0,0,1558.326576
7650,5306,1040,5151.29,773.54,0,0,0,0,0,0,1570.113192
7700,5358,1040,5192.63,826.83,0,0,0,0,0,0,1582.713624
7750,5410,1040,5236.11,869.46,0,0,0,0,0,0,1595.966328
7800,5442,640,5277.29,823.57,0,0,0,0,0,0,1608.517992
7850,5484,840,5318.63,826.86,0,0,0,0,0,0,1621.118424
7900,5466,-360,5348.1,589.48,0,0,0,0,0,0,1630.10088
7950,5482,320,5374.88,535.59,0,0,0,0,0,0,1638.263424
8000,5546,1280,5409.11,684.47,0,0,0,0,0,0,1648.696728
8050,5590,880,5445.28,723.57,0,0,0,0,0,0,1659.721344
8100,5608,360,5477.83,650.86,0,0,0,0,0,0,1669.642584
8150,5672,1280,5516.66,776.69,0,0,0,0,0,0,1681.477968
8200,5728,1120,5558.93,845.35,0,0,0,0,0,0,1694.361864
8250,5694,-680,5585.94,540.28,0,0,0,0,0,0,1702.594512
8300,5770,1520,5622.75,736.23,0,0,0,0,0,0,1713.8142
8350,5780,200,5654.2,628.98,0,0,0,0,0,0,1723.40016
8400,5816,720,5686.56,647.19,0,0,0,0,0,0,1733.263488
8450,5844,560,5718.05,629.75,0,0,0,0,0,0,1742.86164
8500,5864,400,5747.24,583.8,0,0,0,0,0,0,1751.758752
8550,5926,1240,5782.99,715.04,0,0,0,0,0,0,1762.655352
8600,5958,640,5817.99,700.03,0,0,0,0,0,0,1773.323352
8650,5982,480,5850.8,656.03,0,0,0,0,0,0,1783.32384
8700,5976,-120,5875.84,500.82,0,0,0,0,0,0,1790.956032
8750,6040,1280,5908.67,656.65,0,0,0,0,0,0,1800.962616
8800,6062,440,5939.33,613.32,0,0,0,0,0,0,1810.307784
8850,6064,40,5964.27,498.66,0,0,0,0,0,0,1817.909496
8900,6192,2560,6009.81,910.93,0,0,0,0,0,0,1831.790088
8950,6144,-960,6036.65,536.74,0,0,0,0,0,0,1839.97092
9000,6184,800,6066.12,589.39,0,0,0,0,0,0,1848.953376
9050,6234,1000,6099.7,671.51,0,0,0,0,0,0,1859.18856
9100,6268,680,6133.36,673.21,0,0,0,0,0,0,1869.448128
9150,6300,640,6166.69,666.57,0,0,0,0,0,0,1879.607112
9200,6322,440,6197.75,621.26,0,0,0,0,0,0,1889.0742
9250,6340,360,6226.2,569,0,0,0,0,0,0,1897.74576
9300,6404,1280,6261.76,711.2,0,0,0,0,0,0,1908.584448
9350,6418,280,6293.01,624.96,0,0,0,0,0,0,1918.109448
9400,6428,200,6320.01,539.97,0,0,0,0,0,0,1926.339048
9450,6414,-280,6338.8,375.98,0,0,0,0,0,0,1932.06624
9500,6456,840,6362.24,468.78,0,0,0,0,0,0,1939.210752
9550,6542,1720,6398.19,719.02,0,0,0,0,0,0,1950.168312
9600,6552,200,6428.96,615.22,0,0,0,0,0,0,1959.547008
9650,6578,520,6458.76,596.17,0,0,0,0,0,0,1968.630048
9700,6568,-200,6480.61,436.94,0,0,0,0,0,0,1975.289928
9750,6666,1960,6517.69,741.55,0,0,0,0,0,0,1986.591912
9800,6676,200,6549.35,633.24,0,0,0,0,0,0,1996.24188
9850,6652,-480,6569.88,410.6,0,0,0,0,0,0,2002.499424
9900,6726,1480,6601.1,624.47,0,0,0,0,0,0,2012.01528
9950,6782,1120,6637.28,723.58,0,0,0,0,0,0,2023.042944
10000,6788,120,6667.43,602.86,0,0,0,0,0,0,2032.232664
10050,6772,-320,6688.34,418.29,0,0,0,0,0,0,2038.606032
10100,6808,720,6712.27,478.63,0,0,0,0,0,0,2045.899896
10150,6842,680,6738.22,518.91,0,0,0,0,0,0,2053.809456
10200,6934,1840,6777.37,783.13,0,0,0,0,0,0,2065.742376
10250,6934,0,6808.7,626.5,0,0,0,0,0,0,2075.29176
10300,6932,-40,6833.36,493.2,0,0,0,0,0,0,2082.808128
10350,6988,1120,6864.29,618.55,0,0,0,0,0,0,2092.235592
10400,7024,720,6896.23,638.85,0,0,0,0,0,0,2101.970904
10450,7016,-160,6920.18,479.08,0,0,0,0,0,0,2109.270864
10500,7026,200,6941.35,423.26,0,0,0,0,0,0,2115.72348
10550,7062,720,6965.48,482.61,0,0,0,0,0,0,2123.078304
10600,7072,200,6986.78,426.08,0,0,0,0,0,0,2129.570544
10650,7112,800,7011.83,500.87,0,0,0,0,0,0,2137.205784
10700,7134,440,7036.26,488.7,0,0,0,0,0,0,2144.652048
10750,7198,1280,7068.61,646.95,0,0,0,0,0,0,2154.512328
10800,7242,880,7103.29,693.56,0,0,0,0,0,0,2165.082792
10850,7234,-160,7129.43,522.85,0,0,0,0,0,0,2173.050264
10900,7286,1040,7160.74,626.28,0,0,0,0,0,0,2182.593552
10950,7298,240,7188.19,549.02,0,0,0,0,0,0,2190.960312
11000,7336,760,7217.76,591.22,0,0,0,0,0,0,2199.973248
11050,7332,-80,7240.6,456.98,0,0,0,0,0,0,2206.93488
11100,7374,840,7267.28,533.58,0,0,0,0,0,0,2215.066944
11150,7364,-200,7286.63,386.87,0,0,0,0,0,0,2220.964824
11200,7394,600,7308.1,429.49,0,0,0,0,0,0,2227.50888
11250,7448,1080,7336.08,559.59,0,0,0,0,0,0,2236.037184
11300,7480,640,7364.86,575.67,0,0,0,0,0,0,2244.809328
11350,7488,160,7389.49,492.54,0,0,0,0,0,0,2252.316552
11400,7468,-400,7405.19,314.03,0,0,0,0,0,0,2257.101912
11450,7536,1360,7431.35,523.22,0,0,0,0,0,0,2265.07548
11500,7594,1160,7463.88,650.59,0,0,0,0,0,0,2274.990624
11550,7604,200,7491.91,560.47,0,0,0,0,0,0,2283.534168
11600,7642,760,7521.93,600.37,0,0,0,0,0,0,2292.684264
11650,7618,-480,7541.14,384.3,0,0,0,0,0,0,2298.539472
11700,7654,720,7563.71,451.44,0,0,0,0,0,0,2305.418808
11750,7636,-360,7578.17,289.15,0,0,0,0,0,0,2309.826216
11800,7722,1720,7606.94,575.32,0,0,0,0,0,0,2318.595312
11850,7726,80,7630.75,476.26,0,0,0,0,0,0,2325.8526
11900,7758,640,7656.2,509,0,0,0,0,0,0,2333.60976
11950,7790,640,7682.96,535.21,0,0,0,0,0,0,2341.766208
12000,7796,120,7705.57,452.16,0,0,0,0,0,0,2348.657736
12050,7852,1120,7734.85,585.73,0,0,0,0,0,0,2357.58228
12100,7830,-440,7753.88,380.59,0,0,0,0,0,0,2363.382624
12150,7886,1120,7780.31,528.47,0,0,0,0,0,0,2371.438488
12200,7892,120,7802.65,446.78,0,0,0,0,0,0,2378.24772
12250,7908,320,7823.72,421.42,0,0,0,0,0,0,2384.669856
12300,7936,560,7846.17,449.13,0,0,0,0,0,0,2391.512616
12350,7942,120,7865.34,383.31,0,0,0,0,0,0,2397.355632
12400,7958,320,7883.87,370.64,0,0,0,0,0,0,2403.003576
12450,7968,200,7900.7,336.51,0,0,0,0,0,0,2408.13336
12500,8018,1000,7924.16,469.22,0,0,0,0,0,0,2415.283968
12550,7998,-400,7938.93,295.37,0,0,0,0,0,0,2419.785864
12600,8054,1120,7961.94,460.29,0,0,0,0,0,0,2426.799312
12650,8110,1120,7991.55,592.24,0,0,0,0,0,0,2435.82444
12700,8134,480,8020.04,569.79,0,0,0,0,0,0,2444.508192
12750,8140,120,8044.03,479.83,0,0,0,0,0,0,2451.820344
12800,8206,1320,8076.43,647.86,0,0,0,0,0,0,2461.695864
12850,8150,-1120,8091.14,294.3,0,0,0,0,0,0,2466.179472
12900,8164,280,8105.71,291.44,0,0,0,0,0,0,2470.620408
12950,8176,240,8119.77,281.14,0,0,0,0,0,0,2474.905896
13000,8236,1200,8143.02,464.92,0,0,0,0,0,0,2481.992496
13050,8240,80,8162.41,387.93,0,0,0,0,0,0,2487.902568
13100,8252,240,8180.33,358.35,0,0,0,0,0,0,2493.364584
13150,8258,120,8195.86,310.67,0,0,0,0,0,0,2498.098128
13200,8310,1040,8218.69,456.54,0,0,0,0,0,0,2505.056712
13250,8338,560,8242.55,477.23,0,0,0,0,0,0,2512.32924
13300,8354,320,8264.84,445.78,0,0,0,0,0,0,2519.123232
13350,8340,-280,8279.87,300.63,0,0,0,0,0,0,2523.704376
13400,8398,1160,8303.5,472.5,0,0,0,0,0,0,2530.9068
