alt,t
0,0
6.935912,0.05
14.879,0.1
22.69712,0.15
29.805056,0.2
38.052944,0.25
45.746096,0.3
55.804496,0.35
64.579688,0.4
75.13796,0.45
83.218208,0.5
91.755656,0.55
101.024624,0.6
109.41272,0.65
119.172416,0.7
127.590992,0.75
137.372024,0.8
146.7812,0.85
155.65088,0.9
165.185024,0.95
173.911448,1
183.44864,1.05
193.641152,1.1
204.598712,1.15
215.562368,1.2
227.620256,1.25
239.220944,1.3
249.108656,1.35
257.508944,1.4
268.372016,1.45
280.356752,1.5
292.015352,1.55
303.292952,1.6
313.778072,1.65
322.900736,1.7
333.36452,1.75
343.566176,1.8
354.0452,1.85
365.35328,1.9
374.643584,1.95
384.634928,2
392.873672,2.05
401.048408,2.1
411.978536,2.15
419.382128,2.2
429.690464,2.25
439.40444,2.3
445.710752,2.35
453.193592,2.4
459.057944,2.45
465.092984,2.5
473.819408,2.55
483.850376,2.6
494.189192,2.65
503.561792,2.7
512.276024,2.75
523.39208,2.8
538.138304,2.85
551.400152,2.9
564.933272,2.95
576.125528,3
590.445032,3.05
604.215896,3.1
618.038576,3.15
634.092392,3.2
651.569624,3.25
666.041528,3.3
681.397352,3.35
699.167192,3.4
715.821464,3.45
734.874512,3.5
759.630368,3.55
782.478176,3.6
801.85736,3.65
817.847168,3.7
836.369864,3.75
853.136912,3.8
868.74572,3.85
885.134816,3.9
901.661072,3.95
917.318648,4
930.211688,4.05
942.233,4.1
955.50704,4.15
968.442752,4.2
980.863352,4.25
996.895832,4.3
1012.404056,4.35
1027.128944,4.4
1041.710576,4.45
1053.62216,4.5
1066.929728,4.55
1080.868232,4.6
1093.115096,4.65
1106.450096,4.7
1116.993128,4.75
1129.941032,4.8
1141.517336,4.85
1154.559728,4.9
1166.456072,4.95
1179.751448,5
1192.949288,5.05
1206.06788,5.1
1219.366304,5.15
1231.344944,5.2
1241.293616,5.25
1253.278352,5.3
1264.327352,5.35
1275.726872,5.4
1286.919128,5.45
1296.239912,5.5
1310.03516,5.55
1320.340448,5.6
1333.218248,5.65
1345.471208,5.7
1356.127016,5.75
1366.356104,5.8
1377.591032,5.85
1387.551896,5.9
1398.326576,5.95
1410.113192,6
1422.713624,6.05
1435.966328,6.1
1448.517992,6.15
1461.118424,6.2
1470.10088,6.25
1478.263424,6.3
1488.696728,6.35
1499.721344,6.4
1509.642584,6.45
1521.477968,6.5
1534.361864,6.55
1542.594512,6.6
1553.8142,6.65
1563.40016,6.7
1573.263488,6.75
1582.86164,6.8
1591.758752,6.85
1602.655352,6.9
1613.323352,6.95
1623.32384,7
1630.956032,7.05
1640.962616,7.1
1650.307784,7.15
1657.909496,7.2
1671.790088,7.25
1679.97092,7.3
1688.953376,7.35
1699.18856,7.4
1709.448128,7.45
1719.607112,7.5
1729.0742,7.55
1737.74576,7.6
1748.584448,7.65
1758.109448,7.7
1766.339048,7.75
1772.06624,7.8
1779.210752,7.85
1790.168312,7.9
1799.547008,7.95
1808.630048,8
1815.289928,8.05
1826.591912,8.1
1836.24188,8.15
1842.499424,8.2
1852.01528,8.25
1863.042944,8.3
1872.232664,8.35
1878.606032,8.4
1885.899896,8.45
1893.809456,8.5
1905.742376,8.55
1915.29176,8.6
1922.808128,8.65
1932.235592,8.7
1941.970904,8.75
1949.270864,8.8
1955.72348,8.85
1963.078304,8.9
1969.570544,8.95
1977.205784,9
1984.652048,9.05
1994.512328,9.1
2005.082792,9.15
2013.050264,9.2
2022.593552,9.25
2030.960312,9.3
2039.973248,9.35
2046.93488,9.4
2055.066944,9.45
2060.964824,9.5
2067.50888,9.55
2076.037184,9.6
2084.809328,9.65
2092.316552,9.7
2097.101912,9.75
2105.07548,9.8
2114.990624,9.85
2123.534168,9.9
2132.684264,9.95
2138.539472,10
2145.418808,10.05
2149.826216,10.1
2158.595312,10.15
2165.8526,10.2
2173.60976,10.25
2181.766208,10.3
2188.657736,10.35
2197.58228,10.4
2203.382624,10.45
2211.438488,10.5
2218.24772,10.55
2224.669856,10.6
2231.512616,10.65
2237.355632,10.7
2243.003576,10.75
2248.13336,10.8
2255.283968,10.85
2259.785864,10.9
2266.799312,10.95
2275.82444,11
2284.508192,11.05
2291.820344,11.1
2301.695864,11.15
2306.179472,11.2
2310.620408,11.25
2314.905896,11.3
2321.992496,11.35
2327.902568,11.4
2333.364584,11.45
2338.098128,11.5
2345.056712,11.55
2352.32924,11.6
2359.123232,11.65
2363.704376,11.7
2370.9068,11.75
2375.81408,11.8
2380.227584,11.85
2386.805168,11.9
2391.581384,11.95
2394.912848,12
2401.968968,12.05
2410.661864,12.1
2416.517072,12.15
2419.860728,12.2
2424.609512,12.25
2428.895,12.3
2435.61584,12.35
2441.602112,12.4
2447.00012,12.45
2452.660256,12.5
2457.677264,12.55
2462.298032,12.6
2469.165176,12.65
2477.5868,12.7
2481.27488,12.75
2487.151424,12.8
2492.94872,12.85
2496.246656,12.9
2503.153424,12.95
2505.38456,13
2510.096768,13.05
2515.939784,13.1
2522.928848,13.15
2531.935688,13.2
2539.14116,13.25
2546.489888,13.3
2552.12564,13.35
2554.804832,13.4
2558.532536,13.45
2563.954928,13.5
2567.923424,13.55
2571.955928,13.6
2575.302632,13.65
2580.661016,13.7
2583.605384,13.75
2585.720696,13.8
2587.043528,13.85
2593.346792,13.9
2601.070424,13.95
2604.081848,14
2608.55936,14.05
2612.387648,14.1
2618.376968,14.15
2623.899944,14.2
2630.023376,14.25
2631.5108,14.3
2634.89408,14.35
2642.111744,14.4
2645.690096,14.45
2649.286736,14.5
2652.89252,14.55
2657.851616,14.6
2663.770832,14.65
2667.407096,14.7
2669.098736,14.75
2674.35044,14.8
2674.774112,14.85
2682.42764,14.9
2691.842912,14.95
2698.643,15
2702.9864,15.05
2706.46112,15.1
2709.118976,15.15
2710.88072,15.2
2716.921856,15.25
2718.826856,15.3
2723.036144,15.35
2724.816176,15.4
2726.73032,15.45
2730.698816,15.5
2733.262184,15.55
2737.876856,15.6
2742.784136,15.65
2745.128048,15.7
2747.124488,15.75
2753.23268,15.8
2757.143264,15.85
2760.880112,15.9
2765.82092,15.95
2766.970016,16
2769.719312,16.05
2773.74572,16.1
2776.967456,16.15
2780.277584,16.2
2783.410928,16.25
2787.016712,16.3
2790.50972,16.35
2793.304736,16.4
2797.980368,16.45
2800.135304,16.5
2804.051984,16.55
2807.063408,16.6
2808.742856,16.65
2810.818544,16.7
2812.964336,16.75
2817.731408,16.8
2822.641736,16.85
2827.05524,16.9
2834.001632,16.95
2836.266296,17
2837.226416,17.05
2840.676752,17.1
2841.850232,17.15
2843.032856,17.2
2844.834224,17.25
2846.51672,17.3
2850.668096,17.35
2853.136976,17.4
2854.865192,17.45
2857.836992,17.5
2861.796344,17.55
2866.182416,17.6
2868.352592,17.65
2870.086904,17.7
2871.351824,17.75
2874.073688,17.8
2875.76228,17.85
2879.550944,17.9
2883.190256,17.95
2887.689104,18
2890.188464,18.05
2892.67868,18.1
2894.669024,18.15
2898.69848,18.2
2898.631424,18.25
2899.43,18.3
2900.43584,18.35
2901.850112,18.4
2901.0302,18.45
2901.95984,18.5
2905.020032,18.55
2905.638776,18.6
2909.06168,18.65
2908.506944,18.7
2911.719536,18.75
2913.194768,18.8
2914.862024,18.85
2918.0228,18.9
2922.86912,18.95
2926.746176,19
2925.45992,19.05
2926.136576,19.1
2926.310312,19.15
2928.64508,19.2
2930.757344,19.25
2933.058584,19.3
2934.165008,19.35
2935.539656,19.4
2933.957744,19.45
2934.762416,19.5
2937.603152,19.55
2937.191672,19.6
2939.300888,19.65
2945.3786,19.7
2947.19216,19.75
2951.081408,19.8
2956.266056,19.85
2954.681096,19.9
2959.634096,19.95
2958.597776,20
2958.375272,20.05
2956.979288,20.1
2956.83908,20.15
2955.263264,20.2
2955.220592,20.25
2957.018912,20.3
2960.89292,20.35
2962.285856,20.4
2962.913744,20.45
2964.876656,20.5
2966.937104,20.55
2966.510384,20.6
2968.122776,20.65
2969.652872,20.7
2970.268568,20.75
2972.103464,20.8
2972.594192,20.85
2973.843872,20.9
2978.010488,20.95
2976.34628,21
2974.648544,21.05
2972.557616,21.1
2973.325712,21.15
2973.45068,21.2
2973.917024,21.25
2974.89848,21.3
2974.465664,21.35
2977.535,21.4
2979.7448,21.45
2976.27008,21.5
2978.854784,21.55
2981.043248,21.6
2982.064328,21.65
2986.538792,21.7
2988.410264,21.75
2988.687632,21.8
2987.450144,21.85
2987.675696,21.9
2984.810576,21.95
2985.563432,22
2986.045016,22.05
2985.212912,22.1
2984.17964,22.15
2983.231712,22.2
2982.22892,22.25
2983.134176,22.3
2985.20072,22.35
2984.414336,22.4
2984.51492,22.45
2987.889056,22.5
2986.566224,22.55
2985.3836,22.6
2990.90048,22.65
2996.777024,22.7
2999.651288,22.75
2997.191552,22.8
2999.252,22.85
3001.75136,22.9
3001.434368,22.95
3000.206024,23
3000.56264,23.05
2998.044992,23.1
2994.201464,23.15
2991.251,23.2
2990.22992,23.25
2988.437696,23.3
2986.270568,23.35
2985.514664,23.4
2986.614992,23.45
2986.523552,23.5
2986.935032,23.55
2985.801176,23.6
2990.13848,23.65
2987.998784,23.7
2987.383088,23.75
2985.55124,23.8
2980.793312,23.85
2982.22892,23.9
2972.405216,23.95
2965.888592,24
2954.577464,24.05
2941.992272,24.1
2925.831776,24.15
2911.070312,24.2
2888.65532,24.25
2866.944416,24.3
2845.797392,24.35
2775.598904,24.4
2767.110224,24.45
2758.859288,24.5
2741.40644,24.55
2723.420192,24.6
2706.470264,24.65
2692.422032,24.7
2678.257976,24.75
2664.49016,24.8
2652.377408,24.85
2639.152136,24.9
2626.98452,24.95
2612.985056,25
2600.445584,25.05
2588.460848,25.1
2573.632328,25.15
2559.818792,25.2
2546.816024,25.25
2536.65704,25.3
2522.922752,25.35
2513.88848,25.4
2506.902464,25.45
2499.605552,25.5
2487.916472,25.55
2476.248728,25.6
2463.623912,25.65
2454.37628,25.7
2441.614304,25.75
2429.577752,25.8
2416.532312,25.85
2407.07132,25.9
2392.187936,25.95
2384.915408,26
2370.196616,26.05
2357.687624,26.1
2345.733368,26.15
2334.458816,26.2
2321.907152,26.25
2311.498232,26.3
2299.757336,26.35
2290.000688,26.4
2282.56052,26.45
2268.682976,26.5
2258.676392,26.55
2244.820184,26.6
2236.907576,26.65
2227.160072,26.7
2218.756736,26.75
2210.201,26.8
2199.09104,26.85
2188.740032,26.9
2175.703736,26.95
2162.594288,27
2150.39924,27.05
2141.252192,27.1
2129.179064,27.15
2117.325392,27.2
2103.822752,27.25
2092.042232,27.3
2080.301336,27.35
2072.007728,27.4
2057.932064,27.45
2046.55388,27.5
2039.887904,27.55
2026.385264,27.6
2016.56156,27.65
2006.384288,27.7
1997.38964,27.75
1987.632992,27.8
1977.144824,27.85
1968.14408,27.9
1956.311744,27.95
1942.824344,28
1931.665616,28.05
1921.156112,28.1
1908.35756,28.15
1897.997408,28.2
1887.027656,28.25
1876.054856,28.3
1865.085104,28.35
1853.136944,28.4
1840.655384,28.45
1827.253328,28.5
1816.289672,28.55
1806.420248,28.6
1796.575208,28.65
1786.260776,28.7
1776.909512,28.75
1765.653248,28.8
1753.96112,28.85
1743.878336,28.9
1729.351568,28.95
1721.021384,29
1706.430608,29.05
1695.735176,29.1
1688.27672,29.15
1676.334656,29.2
1666.657256,29.25
1655.870384,29.3
1645.653488,29.35
1637.11604,29.4
1625.042912,29.45
1614.40844,29.5
1602.121952,29.55
1592.048312,29.6
1579.84412,29.65
1569.349856,29.7
1557.663824,29.75
1546.60568,29.8
1536.541184,29.85
1523.858456,29.9
1512.123656,29.95
1500.544304,30
1489.937264,30.05
1482.43004,30.1
1470.082592,30.15
1461.545144,30.2
1451.056976,30.25
1437.67016,30.3
1427.691008,30.35
1419.098696,30.4
1406.248328,30.45
1396.458152,30.5
1385.332952,30.55
1372.897112,30.6
1364.292608,30.65
1353.624608,30.7
1340.704136,30.75
1331.221808,30.8
1318.880456,30.85
1309.370696,30.9
1299.571376,30.95
1290.265832,31
1278.314624,31.05
1268.1404,31.1
1258.5392,31.15
1253.0528,31.2
1239.39776,31.25
1227.986048,31.3
1219.710728,31.35
1210.652072,31.4
1200.843608,31.45
1191.047336,31.5
1180.76948,31.55
1170.964064,31.6
1158.24476,31.65
1146.604448,31.7
1137.292808,31.75
1128.987008,31.8
1116.493256,31.85
1102.963184,31.9
1093.965488,31.95
1082.50196,32
1069.551008,32.05
1058.581256,32.1
1048.705736,32.15
1036.419248,32.2
1025.614088,32.25
1013.92196,32.3
1003.836128,32.35
990.647432,32.4
984.728216,32.45
972.066824,32.5
964.014008,32.55
953.425256,32.6
942.513416,32.65
931.958192,32.7
922.414904,32.75
911.365904,32.8
901.188632,32.85
890.849816,32.9
881.727152,32.95
871.379192,33
861.515864,33.05
851.064272,33.1
840.999776,33.15
832.943912,33.2
821.13596,33.25
809.739488,33.3
799.40372,33.35
789.915296,33.4
776.351696,33.45
766.351208,33.5
754.817576,33.55
743.39672,33.6
731.454656,33.65
721.777256,33.7
710.746544,33.75
701.309936,33.8
691.202768,33.85
681.287624,33.9
667.86728,33.95
655.791104,34
649.420784,34.05
639.938456,34.1
628.935176,34.15
619.64792,34.2
611.363456,34.25
598.031504,34.3
589.436144,34.35
579.024176,34.4
571.42856,34.45
561.693248,34.5
550.126088,34.55
539.40932,34.6
529.250336,34.65
519.53636,34.7
507.499808,34.75
500.309576,34.8
490.53464,34.85
479.421632,34.9
470.286776,34.95
459.32312,35
449.209856,35.05
439.654376,35.1
428.47736,35.15
415.389248,35.2
406.504328,35.25
395.616872,35.3
386.052248,35.35
377.182568,35.4
367.160744,35.45
356.824976,35.5
345.75464,35.55
332.142272,35.6
321.251768,35.65
314.613224,35.7
306.00872,35.75
295.346816,35.8
284.136272,35.85
273.337208,35.9
262.748456,35.95
255.616136,36
246.743408,36.05
236.352776,36.1
228.769352,36.15
217.22048,36.2
207.369344,36.25
196.561136,36.3
188.404688,36.35
179.19668,36.4
169.757024,36.45
156.35192,36.5
148.189376,36.55
139.83176,36.6
128.999168,36.65
121.309064,36.7
110.887952,36.75
100.235192,36.8
89.030744,36.85
78.362744,36.9
68.971856,36.95
59.023184,37
47.160368,37.05
35.477384,37.1
25.275728,37.15
14.921672,37.2
4.808408,37.25
